,Forest and other wooded land (a)/,,,,,,   km2 per 1000 inhabitants/,,,,, ,% of land area/,,,,
Luxembourg,830,820,890,890,890,,2.4,2.2,2.3,2.2,2.0,,32.1,31.9,34.5,34.5,34.5
Netherl./Pays-Bas, 2 980, 2 940, 3 100, 3 110, 3 230,,0.2,0.2,0.2,0.2,0.2,,8.8,8.7,9.1,9.2,9.5
Norway/Norvège, 114 000, 119 200, 119 200, 120 000, 120 000,,29.4,29.2,28.1,27.5,26.6,,37.2,38.9,38.9,39.2,39.2
Poland/Pologne, 86 110, 87 540, 88 840, 89 580, 91 310,,2.6,2.5,2.3,2.3,2.4,,28.3,28.7,29.2,29.4,30.0
Portugal, 28 340, 29 760, 32 290, 33 240,33810,,3.3,3.0,3.3,3.4,3.4,,31.0,32.5,35.3,36.3,36.9
Slovak R./R.slovaq., 18 480, 19 550, 19 890, 19 920, 20 010,,4.1,4.0,3.8,3.7,3.7,,38.4,40.6,41.3,41.4,41.6
Spain/Espagne, 142 000, 155 980, 158 070, 163 910, 166 410,,4.2,4.2,4.1,4.2,4.1,,28.4,31.2,31.6,32.8,33.3
Sweden/Suède, 270 760, 274 130, 280 990, 302 590,..,,33.7,33.0,32.8,34.3,..,,65.8,66.6,68.3,73.5,..
Switzerland/Suisse, 11 700, 12 550, 12 630, 12 720,..,,1.9,2.0,1.9,1.8,..,,28.3,30.4,30.6,30.8,..
Turkey/Turquie, 201 990, 203 510, 205 680, 206 760, 207 630,,5.7,4.6,3.7,3.4,3.0,,26.2,26.4,26.7,26.9,27.0
UK/Royaume-Uni, 19 000, 21 950, 24 200, 24 890, 27 940,,0.3,0.4,0.4,0.4,0.5,,7.9,9.1,10.0,10.3,11.6
N. America/Amér. N.,7 878 420,7 786 910,7 757 420,7 795 320,7 803 930,,28.4,24.2,21.6,20.4,18.8,,38.8,38.4,17.7,17.8,17.9
Australia/ie-NZ.,1 450 310,1 536 960,1 581 020,1 659 170,1 735 450,,94.6,86.2,77.4,76.4,74.7,,18.2,19.3,19.9,20.9,21.8
OECD/OCDE Europe,1 559 100,1 612 840,1 640 500,1 677 970,1 689 380,,3.5,3.4,3.3,3.3,3.2,,32.1,33.2,33.7,34.5,34.8
EU/UE - 15,1 084 950,1 127 300,1 149 980,1 184 210,1 192 160,,3.2,3.2,3.2,3.2,3.1,,34.7,36.1,36.8,37.9,38.2
OECD/OCDE,11 202 370,11 254 340,11 294 400,11 446 950,11 542 890,,12.8,11.6,10.8,10.6,10.2,,33.4,33.5,21.2,21.7,22.0
World/Monde,43 318 470,42 975 350,43 181 050,41 724 350,41 919 240,,11.7,9.7,8.2,7.4,6.8,,33.2,32.9,33.1,31.9,32.1
